"Parasite","Host","DetectionMethod","DetectionQuality","ReferenceText","HostOrder","HostFamily","HostGenus","HostSpecies","ParasiteOrder","ParasiteFamily","ParasiteSubfamily","ParasiteGenus","SSorDS","DNAorRNA","Envelope","Segmented","CytoReplic","GenomeAveLength","ReverseZoonosis","IsZoonotic_HP3","IsZoonotic_Strict_HP3","PublicationYear","ParasiteType","Database","Host_AsReported","Parasite_AsReported","Parasite_og","PathogenName_Harmonised","PathogenName_Harm2","PathogenType"
"human papillomavirus 54","homo sapiens","Isolation",2,"Favre et al. 1990","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Papillomaviridae",NA,"Alphapapillomavirus","DS","DNA","non-enveloped",FALSE,FALSE,7738,0,0,0,1990,"virus","HP3","","","human papillomavirus 54","human papillomavirus 54","human papillomavirus 54","virus"
"human papillomavirus 6","homo sapiens","Isolation",2,"Gissman & Zar Hausen 1980","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Papillomaviridae",NA,"Alphapapillomavirus","DS","DNA","non-enveloped",FALSE,FALSE,8031,0,0,0,1980,"virus","HP3","","","human papillomavirus 6","human papillomavirus 6","human papillomavirus 6","virus"
"human papillomavirus 60","homo sapiens","Isolation",2,"Matsukura et al. 1992","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Papillomaviridae",NA,"Gammapapillomavirus","DS","DNA","non-enveloped",FALSE,FALSE,7313,0,0,0,1992,"virus","HP3","","","human papillomavirus 60","human papillomavirus 60","human papillomavirus 60","virus"
"human papillomavirus 61","homo sapiens","PCR",2,"Tachezy et al. 1994","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Papillomaviridae",NA,"Alphapapillomavirus","DS","DNA","non-enveloped",FALSE,FALSE,7989,0,0,0,1994,"virus","HP3","","","human papillomavirus 61","human papillomavirus 61","human papillomavirus 61","virus"
"human papillomavirus 63","homo sapiens","Isolation",2,"Egawa et al. 1993","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Papillomaviridae",NA,"Mupapillomavirus","DS","DNA","non-enveloped",FALSE,FALSE,7348,0,0,0,1993,"virus","HP3","","","human papillomavirus 63","human papillomavirus 63","human papillomavirus 63","virus"
"human papillomavirus 7","homo sapiens","Antibodies",0,"Orth et al. 1981","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Papillomaviridae",NA,"Alphapapillomavirus","DS","DNA","non-enveloped",FALSE,FALSE,8027,0,0,0,1981,"virus","HP3","","","human papillomavirus 7","human papillomavirus 7","human papillomavirus 7","virus"
"human papillomavirus 71","homo sapiens","Antibodies",0,"Sugase and Matsukura 1997","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Papillomaviridae",NA,"Alphapapillomavirus","DS","DNA","non-enveloped",FALSE,FALSE,8027.5,0,0,0,1997,"virus","HP3","","","human papillomavirus 71","human papillomavirus 71","human papillomavirus 71","virus"
"human papillomavirus 88","homo sapiens","PCR",2,"Kullander et al. 2008","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Papillomaviridae",NA,"Gammapapillomavirus","DS","DNA","non-enveloped",FALSE,FALSE,7326,0,0,0,2008,"virus","HP3","","","human papillomavirus 88","human papillomavirus 88","human papillomavirus 88","virus"
"human papillomavirus 9","homo sapiens","Isolation",2,"Orth et al. 1978","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Papillomaviridae",NA,"Betapapillomavirus","DS","DNA","non-enveloped",FALSE,FALSE,7434,0,0,0,1978,"virus","HP3","","","human papillomavirus 9","human papillomavirus 9","human papillomavirus 9","virus"
"human papillomavirus cand90","homo sapiens","Isolation",2,"ICTV","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Papillomaviridae",NA,"Alphapapillomavirus","DS","DNA","non-enveloped",FALSE,FALSE,8028.5,0,0,0,NA,"virus","HP3","","","human papillomavirus cand90","human papillomavirus cand90","human papillomavirus cand90","virus"
"human papillomavirus cand92","homo sapiens","Isolation",2,"ICTV","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Papillomaviridae",NA,"Betapapillomavirus","DS","DNA","non-enveloped",FALSE,FALSE,7461,0,0,0,NA,"virus","HP3","","","human papillomavirus cand92","human papillomavirus cand92","human papillomavirus cand92","virus"
"human papillomavirus cand96","homo sapiens","Isolation",2,"ICTV","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Papillomaviridae",NA,"Betapapillomavirus","DS","DNA","non-enveloped",FALSE,FALSE,7438,0,0,0,NA,"virus","HP3","","","human papillomavirus cand96","human papillomavirus cand96","human papillomavirus cand96","virus"
"human parainfluenza virus 1","homo sapiens","PCR",2,"Terlizzi et al. 2009","PRIMATES","HOMINIDAE","Homo","sapiens","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Respirovirus","SS","RNA","enveloped",FALSE,TRUE,15600,0,1,0,2009,"virus","HP3","","","human parainfluenza virus 1","human parainfluenza virus 1","human parainfluenza virus 1","virus"
"human parainfluenza virus 2","homo sapiens","Antibodies",0,"Gerna et al. 2011","PRIMATES","HOMINIDAE","Homo","sapiens","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Rubulavirus","SS","RNA","enveloped",FALSE,TRUE,15646,0,1,0,2011,"virus","HP3","","","human parainfluenza virus 2","human parainfluenza virus 2","human parainfluenza virus 2","virus"
"human parainfluenza virus 3","homo sapiens","Isolation",2,"Nichols et al. 2004","PRIMATES","HOMINIDAE","Homo","sapiens","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Respirovirus","SS","RNA","enveloped",FALSE,TRUE,15462,0,1,1,2004,"virus","HP3","","","human parainfluenza virus 3","human parainfluenza virus 3","human parainfluenza virus 3","virus"
"human parainfluenza virus 4","homo sapiens","Isolation",2,"Johnson et al. 1960","PRIMATES","HOMINIDAE","Homo","sapiens","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Rubulavirus","SS","RNA","enveloped",FALSE,TRUE,17304,0,0,0,1960,"virus","HP3","","","human parainfluenza virus 4","human parainfluenza virus 4","human parainfluenza virus 4","virus"
"human parechovirus","homo sapiens","Isolation",2,"Ljubin-Sternak et al. 2011","PRIMATES","HOMINIDAE","Homo","sapiens","Picornavirales","Picornaviridae",NA,"Parechovirus","SS","RNA","non-enveloped",FALSE,TRUE,7348,0,0,0,2011,"virus","HP3","","","human parechovirus","human parechovirus","human parechovirus","virus"
"human parvovirus b19","homo sapiens","Antibodies",0,"Opaleye et al. 2011","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Parvoviridae","Parvovirinae","Erythrovirus","SS","DNA","non-enveloped",FALSE,FALSE,5594,0,0,0,2011,"virus","HP3","","","human parvovirus b19","human parvovirus b19","human parvovirus b19","virus"
"human picobirnavirus","homo sapiens","PCR",2,"Bhattacharya et al. 2006","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Picobirnaviridae",NA,"Picobirnavirus","DS","RNA","non-enveloped",TRUE,TRUE,4270,0,1,1,2006,"virus","HP3","","","human picobirnavirus","human picobirnavirus","human picobirnavirus","virus"
"human polyomavirus","homo sapiens","PCR",2,"Bogdanovic et al. 1996","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Polyomaviridae",NA,"Polyomavirus","DS","DNA","non-enveloped",FALSE,TRUE,4984.25,0,0,0,1996,"virus","HP3","","","human polyomavirus","human polyomavirus","human polyomavirus","virus"
"human respiratory syncytial","homo sapiens","Isolation",2,"Lu et al. 2011","PRIMATES","HOMINIDAE","Homo","sapiens","Mononegavirales","Paramyxoviridae","Pneumovirinae","Pneumovirus","SS","RNA","enveloped",FALSE,TRUE,15225,1,1,1,2011,"virus","HP3","","","human respiratory syncytial virus","human respiratory syncytial","human respiratory syncytial virus","virus"
"human rhinovirus a","homo sapiens","PCR",2,"Kim et al. 2009","PRIMATES","HOMINIDAE","Homo","sapiens","Picornavirales","Picornaviridae",NA,"Rhinovirus","SS","RNA","non-enveloped",FALSE,TRUE,7152,0,0,0,2009,"virus","HP3","","","human rhinovirus a","human rhinovirus a","human rhinovirus a","virus"
"human rhinovirus b","homo sapiens","PCR",2,"Savolainen et al. 2004","PRIMATES","HOMINIDAE","Homo","sapiens","Picornavirales","Picornaviridae",NA,"Rhinovirus","SS","RNA","non-enveloped",FALSE,TRUE,7212,0,0,0,2004,"virus","HP3","","","human rhinovirus b","human rhinovirus b","human rhinovirus b","virus"
"human torovirus","homo sapiens","PCR",2,"Duckmanton et al. 1997","PRIMATES","HOMINIDAE","Homo","sapiens","Nidovirales","Coronaviridae","Torovirinae","Torovirus","SS","RNA","enveloped",FALSE,TRUE,28000,0,0,0,1997,"virus","HP3","","","human torovirus","human torovirus","human torovirus","virus"
"ilheus","homo sapiens","Isolation",2,"Causey et al. 1961","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10755,0,1,0,1961,"virus","HP3","","","ilheus virus","ilheus","ilheus virus","virus"
"influenza a","homo sapiens","PCR",2,"Zhang et al. 2011","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Orthomyxoviridae",NA,"Influenzavirus A","SS","RNA","enveloped",TRUE,TRUE,13444.6,0,1,1,2011,"virus","HP3","","","influenza a virus","influenza a","influenza a virus","virus"
"influenza b","homo sapiens","PCR",2,"Do et al. 2011","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Orthomyxoviridae",NA,"Influenzavirus B","SS","RNA","enveloped",TRUE,TRUE,12570,0,1,1,2011,"virus","HP3","","","influenza b virus","influenza b","influenza b virus","virus"
"influenza c","homo sapiens","PCR",2,"Gouarin et al. 2008","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Orthomyxoviridae",NA,"Influenzavirus C","SS","RNA","enveloped",TRUE,TRUE,12555,0,1,1,2008,"virus","HP3","","","influenza c virus","influenza c","influenza c virus","virus"
"isfahan","homo sapiens","Isolation",2,"Tesh et al. 1977","PRIMATES","HOMINIDAE","Homo","sapiens","Mononegavirales","Rhabdoviridae",NA,"Vesiculovirus","SS","RNA","enveloped",FALSE,TRUE,11088,0,1,0,1977,"virus","HP3","","","isfahan virus","isfahan","isfahan virus","virus"
"japanese encephalitis","homo sapiens","Antibodies",0,"Wolfe et al. 2001","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10976,0,1,0,2001,"virus","HP3","","","japanese encephalitis virus","japanese encephalitis","japanese encephalitis virus","virus"
"jc polyomavirus","homo sapiens","Isolation",2,"Padgett et al. 1971","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Polyomaviridae",NA,"Polyomavirus","DS","DNA","non-enveloped",FALSE,TRUE,5069.5,0,0,0,1971,"virus","HP3","","","jc polyomavirus","jc polyomavirus","jc polyomavirus","virus"
"junin","homo sapiens","Isolation",2,"Simpson et al. 1978","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Arenaviridae",NA,"Arenavirus","SS","RNA","enveloped",TRUE,TRUE,10525,0,1,1,1978,"virus","HP3","","","junin virus","junin","junin virus","virus"
"kairi","homo sapiens","Antibodies",0,"Tauro et al. 2009","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Bunyaviridae",NA,"Orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,6137,0,1,0,2009,"virus","HP3","","","kairi virus","kairi","kairi virus","virus"
"kasokero","homo sapiens","Isolation",2,"Kalunda et al. 1986","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Bunyaviridae",NA,"Unassigned","SS","RNA","enveloped",TRUE,TRUE,6317,0,1,1,1986,"virus","HP3","","","kasokero virus","kasokero","kasokero virus","virus"
"kokobera","homo sapiens","Antibodies",0,"Boughton et al. 1986","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10874,0,1,0,1986,"virus","HP3","","","kokobera virus","kokobera","kokobera virus","virus"
"kotonkan","homo sapiens","Antibodies",0,"Kemp et al. 1973","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Rhabdoviridae",NA,"Nucleorhabdovirus","SS","RNA","enveloped",FALSE,FALSE,15867,0,1,0,1973,"virus","HP3","","","kotonkan virus","kotonkan","kotonkan virus","virus"
"koutango","homo sapiens","Isolation",2,"Karabatsos 1985","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10534,0,1,1,1985,"virus","HP3","","","koutango virus","koutango","koutango virus","virus"
"kyasanur forest disease","homo sapiens","PCR",2,"Wang et al. 2009","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10720,0,1,1,2009,"virus","HP3","","","kyasanur forest disease virus","kyasanur forest disease","kyasanur forest disease virus","virus"
"laguna negra","homo sapiens","Antibodies",0,"Levis et al. 1999","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Bunyaviridae",NA,"Hantavirus","SS","RNA","enveloped",TRUE,TRUE,15450,0,1,0,1999,"virus","HP3","","","laguna negra virus","laguna negra","laguna negra virus","virus"
"lake victoria marburgvirus","homo sapiens","Isolation",2,"Kuzmin et al. 2010","PRIMATES","HOMINIDAE","Homo","sapiens","Mononegavirales","Filoviridae",NA,"Marburgvirus","SS","RNA","enveloped",FALSE,TRUE,19111,0,1,1,2010,"virus","HP3","","","lake victoria marburgvirus","marburg","marburg marburgvirus","virus"
"lassa","homo sapiens","PCR",2,"Panning et al. 2010","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Arenaviridae",NA,"Arenavirus","SS","RNA","enveloped",TRUE,TRUE,10681,0,1,1,2010,"virus","HP3","","","lassa virus","lassa","lassa virus","virus"
"lebombo","homo sapiens","Isolation",2,"Moore et al. 1975","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Reoviridae","Sedoreovirinae","Orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19247,0,1,1,1975,"virus","HP3","","","lebombo virus","lebombo","lebombo virus","virus"
"ljungan","homo sapiens","PCR",2,"Niklasson et al. 2009","PRIMATES","HOMINIDAE","Homo","sapiens","Picornavirales","Picornaviridae",NA,"Parechovirus","SS","RNA","non-enveloped",FALSE,TRUE,7613.5,0,1,1,2009,"virus","HP3","","","ljungan virus","ljungan","ljungan virus","virus"
"louping ill","homo sapiens","Isolation",2,"Leonova et al. 2015","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10871,0,1,1,2015,"virus","HP3","","","louping ill virus","louping ill","louping ill virus","virus"
"lymphocytic choriomeningitis","homo sapiens","Isolation",2,"Gonzalez et al. 2007","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Arenaviridae",NA,"Arenavirus","SS","RNA","enveloped",TRUE,TRUE,10056,0,1,1,2007,"virus","HP3","","","lymphocytic choriomeningitis virus","lymphocytic choriomeningitis","lymphocytic choriomeningitis virus","virus"
"machupo","homo sapiens","Antibodies",0,"Huaman A et al 2010","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Arenaviridae",NA,"Arenavirus","SS","RNA","enveloped",TRUE,TRUE,10635,0,1,0,2010,"virus","HP3","","","machupo virus","machupo","machupo virus","virus"
"marituba","homo sapiens","Isolation",2,"Causey et al. 1961","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Bunyaviridae",NA,"Orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12029.5,0,1,1,1961,"virus","HP3","","","marituba virus","marituba","marituba virus","virus"
"mayaro","homo sapiens","Isolation",2,"Anderson et al. 1957","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Togaviridae",NA,"Alphavirus","SS","RNA","enveloped",FALSE,TRUE,11411,0,1,0,1957,"virus","HP3","","","mayaro virus","mayaro","mayaro virus","virus"
"measles","homo sapiens","PCR",2,"Ito et al. 2010","PRIMATES","HOMINIDAE","Homo","sapiens","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Morbillivirus","SS","RNA","enveloped",FALSE,TRUE,15894,1,1,1,2010,"virus","HP3","","","measles virus","measles","measles virus","virus"
"menangle","homo sapiens","Antibodies",0,"Philbey et al. 1998","PRIMATES","HOMINIDAE","Homo","sapiens","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Rubulavirus","SS","RNA","enveloped",FALSE,TRUE,15516,0,1,0,1998,"virus","HP3","","","menangle virus","menangle","menangle virus","virus"
"modoc","homo sapiens","Antibodies",0,"Zarnke & Yuill 1985","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10600,0,1,0,1985,"virus","HP3","","","modoc virus","modoc","modoc virus","virus"
"mokola","homo sapiens","Isolation",2,"Familusi et al. 1972","PRIMATES","HOMINIDAE","Homo","sapiens","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11948.5,0,1,1,1972,"virus","HP3","","","mokola virus","mokola","mokola virus","virus"
"molluscum contagiosum","homo sapiens","PCR",2,"Trama et al. 2007","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Poxviridae","Chordopoxvirinae","Molluscipoxvirus","DS","DNA","enveloped",FALSE,TRUE,190289,0,0,0,2007,"virus","HP3","","","molluscum contagiosum virus","molluscum contagiosum","molluscum contagiosum virus","virus"
"monkeypox","homo sapiens","Isolation",2,"Hutson et al. 2007","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Poxviridae","Chordopoxvirinae","Orthopoxvirus","DS","DNA","enveloped",FALSE,TRUE,196858,0,1,1,2007,"virus","HP3","","","monkeypox virus","monkeypox","monkeypox virus","virus"
"mosso das pedras virus 78v3531","homo sapiens","Isolation",2,"Attoui et al. 2007","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Togaviridae",NA,"Alphavirus","SS","RNA","enveloped",FALSE,TRUE,11465,0,0,0,2007,"virus","HP3","","","mosso das pedras virus 78v3531","mosso das pedras virus 78v3531","mosso das pedras virus 78v3531","virus"
"mumps","homo sapiens","Isolation",2,"Krajden et al. 2011","PRIMATES","HOMINIDAE","Homo","sapiens","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Rubulavirus","SS","RNA","enveloped",FALSE,TRUE,15384,1,1,0,2011,"virus","HP3","","","mumps virus","mumps","mumps virus","virus"
"murine pneumonia","homo sapiens","Antibodies",0,"Pringle & Eglin 1986","PRIMATES","HOMINIDAE","Homo","sapiens","Mononegavirales","Paramyxoviridae","Pneumovirinae","Pneumovirus","SS","RNA","enveloped",FALSE,TRUE,14885,0,1,0,1986,"virus","HP3","","","murine pneumonia virus","murine pneumonia","murine pneumonia virus","virus"
"murray valley encephalitis","homo sapiens","Antibodies",0,"Broom et al. 2000","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,11014,0,1,0,2000,"virus","HP3","","","murray valley encephalitis virus","murray valley encephalitis","murray valley encephalitis virus","virus"
"ndumu","homo sapiens","NT",1,"Kokernot et al. 1961","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Togaviridae",NA,"Alphavirus","SS","RNA","enveloped",FALSE,TRUE,11700,0,1,0,1961,"virus","HP3","","","ndumu virus","ndumu","ndumu virus","virus"
"new york","homo sapiens","PCR",2,"Hjelle et al. 1995","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Bunyaviridae",NA,"Hantavirus","SS","RNA","enveloped",TRUE,TRUE,15450,0,1,1,1995,"virus","HP3","","","new york virus","new york-1","new york virus","virus"
"newcastle disease","homo sapiens","Isolation",2,"Ingalls & Mahoney 1949","PRIMATES","HOMINIDAE","Homo","sapiens","Mononegavirales","Paramyxoviridae",NA,"Avulavirus","SS","RNA","enveloped",FALSE,TRUE,15192,0,0,0,1949,"virus","HP3","","","newcastle disease virus","newcastle disease","newcastle disease virus","virus"
"nipah","homo sapiens","Isolation",2,"Calisher et al. 2006","PRIMATES","HOMINIDAE","Homo","sapiens","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Henipavirus","SS","RNA","enveloped",FALSE,TRUE,18246,0,1,1,2006,"virus","HP3","","","nipah virus","nipah","nipah virus","virus"
"norwalk","homo sapiens","PCR",2,"Khan et al. 1994","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Caliciviridae",NA,"Norovirus","SS","RNA","non-enveloped",FALSE,TRUE,7654,0,1,0,1994,"virus","HP3","","","norwalk virus","norwalk","norwalk virus","virus"
"ntaya","homo sapiens","Antibodies",0,"Woodruff et al. 1978","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,11000,0,0,0,1978,"virus","HP3","","","ntaya virus","ntaya","ntaya virus","virus"
"nyando","homo sapiens","Isolation",2,"Digoutte et al. 1972","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Bunyaviridae",NA,"Orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12875,0,0,0,1972,"virus","HP3","","","nyando virus","nyando","nyando virus","virus"
"o'nyong-nyong","homo sapiens","Isolation",2,"Kiwanuka et al. 1999","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Togaviridae",NA,"Alphavirus","SS","RNA","enveloped",FALSE,TRUE,11835,0,1,0,1999,"virus","HP3","","","o'nyong-nyong virus","o'nyong-nyong","o'nyong-nyong virus","virus"
"okola","homo sapiens","Antibodies",0,"Brottes et al. 1969","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Bunyaviridae",NA,"Unassigned","SS","RNA","enveloped",TRUE,TRUE,16600,0,0,0,1969,"virus","HP3","","","okola virus","okola","okola virus","virus"
"omsk hemorrhagic fever","homo sapiens","Isolation",2,"Dobler 2010","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10787,0,1,1,2010,"virus","HP3","","","omsk hemorrhagic fever virus","omsk","omsk hemorrhagic fever virus","virus"
"orf","homo sapiens","Isolation",2,"Peterkin 1937","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Poxviridae","Chordopoxvirinae","Parapoxvirus","DS","DNA","enveloped",FALSE,TRUE,139962,0,1,1,1937,"virus","HP3","","","orf virus","orf","orf virus","virus"
"oriboca","homo sapiens","Antibodies",0,"Causey et al. 1961","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Bunyaviridae",NA,"Orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12259,0,1,0,1961,"virus","HP3","","","oriboca virus","oriboca","oriboca virus","virus"
"oropouche","homo sapiens","Isolation",2,"Nunes et al. 2005","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Bunyaviridae",NA,"Orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,11985,0,1,0,2005,"virus","HP3","","","oropouche virus","oropouche","oropouche virus","virus"
"orungo","homo sapiens","Isolation",2,"Brown et al. 1991","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Reoviridae","Sedoreovirinae","Orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,1,0,1991,"virus","HP3","","","orungo virus","orungo","orungo virus","virus"
"palyam","homo sapiens","PCR",2,"Aradaib et al. 2009","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Reoviridae","Sedoreovirinae","Orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,1,1,2009,"virus","HP3","","","palyam virus","palyam","palyam virus","virus"
"parainfluenza virus 5","homo sapiens","Isolation",2,"http://www.ncf-net.org/library/PIV5HostChallenge-0606.htm","PRIMATES","HOMINIDAE","Homo","sapiens","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Rubulavirus","SS","RNA","enveloped",FALSE,TRUE,15246,0,1,1,NA,"virus","HP3","","","parainfluenza virus 5","parainfluenza virus 5","parainfluenza virus 5","virus"
"patois","homo sapiens","Antibodies",0,"Scherer et al. 1972","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Bunyaviridae",NA,"Orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12375,0,1,0,1972,"virus","HP3","","","patois virus","patois","patois virus","virus"
"pichinde","homo sapiens","Antibodies",0,"Buchmeier et al. 1974","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Arenaviridae",NA,"Arenavirus","SS","RNA","enveloped",TRUE,TRUE,10416,0,1,0,1974,"virus","HP3","","","pichinde virus","pichinde","pichinde virus","virus"
"piry","homo sapiens","Isolation",2,"Bergold & Munz 1970","PRIMATES","HOMINIDAE","Homo","sapiens","Mononegavirales","Rhabdoviridae",NA,"Vesiculovirus","SS","RNA","enveloped",FALSE,TRUE,11000,0,0,0,1970,"virus","HP3","","","piry virus","piry","piry virus","virus"
"pixuna","homo sapiens","Antibodies",0,"Pisano et al. 2013","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Togaviridae",NA,"Alphavirus","SS","RNA","enveloped",FALSE,TRUE,11344,0,1,0,2013,"virus","HP3","","","pixuna virus","pixuna","pixuna virus","virus"
"poliovirus","homo sapiens","Isolation",2,"Romanenkova et al. 2011","PRIMATES","HOMINIDAE","Homo","sapiens","Picornavirales","Picornaviridae",NA,"Enterovirus","SS","RNA","non-enveloped",FALSE,TRUE,7440,0,0,0,2011,"virus","HP3","","","poliovirus","poliovirus","poliovirus","virus"
"powassan","homo sapiens","Isolation",2,"McLean & Donohue 1959","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10792.5,0,1,1,1959,"virus","HP3","","","powassan virus","powassan","powassan virus","virus"
"primate t-lymphotropic virus 1","homo sapiens","Antibodies",0,"Wolfe et al. 2005","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Retroviridae","Orthoretrovirinae","Deltaretrovirus","SS","RNA","enveloped",FALSE,FALSE,9028,0,1,0,2005,"virus","HP3","","","primate t-lymphotropic virus 1","primate t-lymphotropic virus 1","primate t-lymphotropic virus 1","virus"
"primate t-lymphotropic virus 2","homo sapiens","Isolation",2,"Kalyanaraman et al. 1982","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Retroviridae",NA,"Deltaretrovirus","SS","RNA","enveloped",FALSE,FALSE,8767.5,0,1,1,1982,"virus","HP3","","","primate t-lymphotropic virus 2","primate t-lymphotropic virus 2","primate t-lymphotropic virus 2","virus"
"primate t-lymphotropic virus 3","homo sapiens","Isolation",2,"Wolfe et al. 2005","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Retroviridae","Orthoretrovirinae","Deltaretrovirus","SS","RNA","enveloped",FALSE,FALSE,8918,0,1,1,2005,"virus","HP3","","","primate t-lymphotropic virus 3","primate t-lymphotropic virus 3","primate t-lymphotropic virus 3","virus"
"pseudocowpox","homo sapiens","Isolation",2,"Friedman-Kien et al. 1963","PRIMATES","HOMINIDAE","Homo","sapiens","Unassigned","Poxviridae","Chordopoxvirinae","Parapoxvirus","DS","DNA","enveloped",FALSE,TRUE,139229,0,1,1,1963,"virus","HP3","","","pseudocowpox virus","pseudocowpox","pseudocowpox virus","virus"
