"Pathogen_Original","InAssoc","Pathogen_Harmonised"
"mamastrovirus 6",FALSE,""
"mamastrovirus 8",FALSE,""
"mamastrovirus 9",FALSE,""
"mammalian 1 bornavirus",FALSE,""
"mammalian orthoreovirus",TRUE,"mammalian orthoreovirus"
"manzanilla orthobunyavirus",FALSE,""
"mapuera",TRUE,"mapuera"
"maraba vesiculovirus",FALSE,""
"marburg marburgvirus",FALSE,""
"marituba orthobunyavirus",FALSE,""
"mason-pfizer monkey",TRUE,"mason-pfizer monkey"
"mayaro",TRUE,"mayaro"
"measles",TRUE,"measles"
"merino walk mammarenavirus",FALSE,""
"mesocricetus auratus polyomavirus 1",FALSE,""
"middelburg",TRUE,"middelburg"
"minatitlan orthobunyavirus",FALSE,""
"miniopterus bat coronavirus 1",FALSE,""
"miniopterus bat coronavirus hku8",FALSE,""
"mischivirus a",FALSE,""
"mobala mammarenavirus",FALSE,""
"modoc",TRUE,"modoc"
"mokola lyssavirus",FALSE,""
"molluscum contagiosum",TRUE,"molluscum contagiosum"
"moloney murine sarcoma",TRUE,"moloney murine sarcoma"
"monkeypox",TRUE,"monkeypox"
"montana myotis leukoencephalitis",TRUE,"montana myotis leukoencephalitis"
"mopeia mammarenavirus",FALSE,""
"mosavirus a",FALSE,""
"mosso das pedras",FALSE,""
"mouse mammary tumor",TRUE,"mouse mammary tumor"
"mucambo",TRUE,"mucambo"
"mule deerpox",FALSE,""
"muleshoe hantavirus",FALSE,""
"mumps",TRUE,"mumps"
"mupapillomavirus 1",FALSE,""
"mupapillomavirus 2",FALSE,""
"murid betaherpesvirus 1",FALSE,""
"murid betaherpesvirus 2",FALSE,""
"murid betaherpesvirus 8",FALSE,""
"murid gammaherpesvirus 4",FALSE,""
"murid gammaherpesvirus 7",FALSE,""
"murine coronavirus",TRUE,"murine coronavirus"
"murine leukemia",TRUE,"murine leukemia"
"murine mastadenovirus a",FALSE,""
"murine mastadenovirus b",FALSE,""
"murine mastadenovirus c",FALSE,""
"murine pneumonia",TRUE,"murine pneumonia"
"murray valley encephalitis",TRUE,"murray valley encephalitis"
"mus musculus polyomavirus 1",FALSE,""
"mus musculus polyomavirus 2",FALSE,""
"mustelid gammaherpesvirus 1",FALSE,""
"myxoma",TRUE,"myxoma"
"ndumu",TRUE,"ndumu"
"nelson bay orthoreovirus",TRUE,"nelson bay orthoreovirus"
"new jersey vesiculovirus",TRUE,"new jersey vesiculovirus"
"new york hantavirus",FALSE,""
"newbury-1",TRUE,"newbury-1"
"newcastle disease",TRUE,"newcastle disease"
"ngaingan",FALSE,""
"nipah",TRUE,"nipah"
"nodamura",FALSE,""
"norwalk",TRUE,"norwalk"
"ntaya",TRUE,"ntaya"
"nupapillomavirus 1",FALSE,""
"nyando orthobunyavirus",FALSE,""
"o'nyong-nyong",TRUE,"o'nyong-nyong"
"oliveros mammarenavirus",FALSE,""
"omegapapillomavirus 1",FALSE,""
"omikronpapillomavirus 1",FALSE,""
"omsk hemorrhagic fever",FALSE,""
"orf",TRUE,"orf"
"oriboca orthobunyavirus",FALSE,""
"oropouche orthobunyavirus",FALSE,""
"orthohepevirus a",TRUE,"orthohepevirus a"
"orthohepevirus c",FALSE,""
"orthohepevirus d",FALSE,""
"orungo",TRUE,"orungo"
"ovine atadenovirus d",FALSE,""
"ovine gammaherpesvirus 2",FALSE,""
"ovine mastadenovirus a",FALSE,""
"ovine mastadenovirus b",FALSE,""
"palyam",TRUE,"palyam"
"panine betaherpesvirus 2",FALSE,""
"panine gammaherpesvirus 1",FALSE,""
"papiine alphaherpesvirus 2",FALSE,""
"papiine betaherpesvirus 3",FALSE,""
