Cargo,Cargo classification,Carrier,Carrier classification,Sequences count,Publications count,Sequences,Publications
acidovorax radicis,Bacteria,triticum aestivum,Higher Plants,32,0,328833674;328833676;328833678;328833680;328833682;328833684;328833686;328833688;328833690;328833692;328833694;328833696;328833700;328833702;328833704;328833706;328833708;328833710;328833712;328833713;328833714;328833716;328833718;328833719;328833721;328833723;328833724;328833726;328833728;328833730;328833736;351000302,
acinetobacter baumannii,Bacteria,bos taurus,Domestic,3,4,260080602;260080604;260080606,9595710;19129067;19895257;21912615
acinetobacter baumannii,Bacteria,capsicum annuum,Higher Plants,1,0,318086694,
acinetobacter baumannii,Bacteria,centella asiatica,Higher Plants,1,0,319659252,
acinetobacter baumannii,Bacteria,culex quinquefasciatus,Arthropod,2,0,348161405;348161445,
acinetobacter baumannii,Bacteria,equus caballus,Domestic,1,1,50657040,11704773
acinetobacter baumannii,Bacteria,homo sapiens,Human,6762,52,284471187;284469598;284469859;319920815;284469621;284469836;319920577;319920792;332736294;332729439;284471233;319920861;320041479;284471210;284469575;319920838;333032469;332733469;284469690;284469767;319920984;333032492;333069369;284469713;284469744;319921007;333032515;333069346;284469644;284469813;332737691;333032538;332732456;284469667;284469790;333032561;425742206;332733807;284469936;284471264;284472177;284469521;319920892;333032584;333032323;332733738;284471502;284469283;319920454;319921130;320041625;333069223;284469982;284470803;284471310;284469475;284469721;319920692;319920938;332733692;333032369;333069415;284470128;284470657;284471456;284469329;319921084;320041579;333069269;284471356;284469429;319920308;319920646;319920546;319921038;320041533;332729224;333069315;284471648;284469137;319920354;319920600;319921682;332732026;312184030;319920500;319920746;320041487;332732172;284470013;284470511;284471602;284472100;319920400;284470795;284469160;319920423;333032484;332730306;333032269,2846986;7758361;15498175;16326077;16606978;17954700;18251663;18625015;19129067;19162449;19255696;19584386;20046873;20603168;20828316;20835812;20657064;20656059;21144895;20591538;20505779;20383325;21829642;20194595;20094653;20028819;19530313;19226024;19190595;17244795;17127235;16255145;16124443;15773518;15561882;15148842;14015674;11939689;10357050;10349782;9021190;1571467;20853905;21111605;21288481;21353493;21576323;22004087;22027104;21912615;22132887;21958044
acinetobacter baumannii,Bacteria,ictalurus punctatus,Fish,1,0,219551894,
acinetobacter baumannii,Bacteria,musa acuminata,Higher Plants,1,0,239809137,
acinetobacter baumannii,Bacteria,scylla paramamosain,Arthropod,1,0,307697876,
acinetobacter baumannii,Bacteria,zea mays,Higher Plants,1,0,327391615,
acinetobacter baylyi,Bacteria,bougainvillea spectabilis,Higher Plants,1,0,319659220,
acinetobacter baylyi,Bacteria,cocos nucifera,Higher Plants,1,0,319432100,
acinetobacter baylyi,Bacteria,manihot esculenta,Higher Plants,1,0,319659093,
acinetobacter beijerinckii,Bacteria,culex quinquefasciatus,Arthropod,1,0,348161532,
acinetobacter berezinae,Bacteria,homo sapiens,Human,1,0,402296387,
acinetobacter calcoaceticus,Bacteria,apis mellifera,Arthropod,1,0,85542251,
acinetobacter calcoaceticus,Bacteria,avena sativa,Higher Plants,1,0,353259932,
acinetobacter calcoaceticus,Bacteria,betula pendula,Higher Plants,1,0,94442987,
acinetobacter calcoaceticus,Bacteria,culex quinquefasciatus,Arthropod,2,0,16417819;348161533,
acinetobacter calcoaceticus,Bacteria,gynura procumbens,Higher Plants,1,0,298568445,
acinetobacter calcoaceticus,Bacteria,helicoverpa armigera,Arthropod,1,0,302032639,
acinetobacter calcoaceticus,Bacteria,homo sapiens,Human,8,10,82617067;197209621;197690603;209967483;209967484;209967485;227015799;300193890,10357050;12414756;22027104;21501041;10586159;8690717;7737114;7240404;1990144;1293911
acinetobacter calcoaceticus,Bacteria,lantana camara,Higher Plants,1,0,318086731,
