Pathogen_Original,Synonym,InAssoc,Pathogen_Harmonised,Notes
human mastadenovirus a,human adenovirus a,TRUE,human mastadenovirus a,
human mastadenovirus b,human adenovirus b,TRUE,human mastadenovirus b,
human mastadenovirus c,human adenovirus c,TRUE,human mastadenovirus c,
human mastadenovirus d,human adenovirus d,TRUE,human mastadenovirus d,
human mastadenovirus e,human adenovirus e,TRUE,human mastadenovirus e,
human mastadenovirus f,human adenovirus f,TRUE,human mastadenovirus f,
human mastadenovirus g,human adenovirus g,FALSE,human mastadenovirus g,
human metapneumovirus,hmpv,TRUE,human metapneumovirus,
human parainfluenza virus 1,"hpiv1; parainfluenza virus type 1; human parainfluenza 1 virus, etc.",TRUE,human parainfluenza virus 1,
human parainfluenza virus 2,"hpiv2; piv-2; parainfluenza virus type 2, etc.",TRUE,human parainfluenza virus 2,
human parainfluenza virus 3,"hpiv3; parainfluenza virus type 3; human parainfluenza 3 virus, etc.",TRUE,human parainfluenza virus 3,
human parainfluenza virus 4,hpiv type 4; parainfluenza virus type 4; human parainfluenza virus type 4,TRUE,human parainfluenza virus 4,
human picobirnavirus,,TRUE,human picobirnavirus,
human polyomavirus 1,"polyomavirus bk; polyomavirus hominis 1; human polyomavirus bkv, etc.",FALSE,human polyomavirus,"both listed as just ""human polyomavirus"" in other datasets"
human polyomavirus 2,,FALSE,human polyomavirus,"both listed as just ""human polyomavirus"" in other datasets"
human respiratory syncytial,human rsv,TRUE,human respiratory syncytial,
human torovirus,,TRUE,human torovirus,
hunnivirus a,,FALSE,hunnivirus a,
ikoma lyssavirus,serengeti lyssavirus,FALSE,ikoma lyssavirus,
ilheus,,TRUE,ilheus,
indiana vesiculovirus,vesicular stomatitis indiana virus,TRUE,indiana vesiculovirus,
influenza a,influenza virus type a; human influenza a virus,TRUE,influenza a,
influenza b,influenza virus type b,TRUE,influenza b,
influenza c,influenza virus type c; influenza c viruses,TRUE,influenza c,
iotapapillomavirus 1,praomys natalensis papillomavirus; multimammate rat papillomavirus; mastomys natalensis papillomavirus,FALSE,mastomys natalensis papillomavirus,
ippy mammarenavirus,ippy virus,FALSE,ippy,
irkut lyssavirus,irkut virus,FALSE,irkut,
isfahan vesiculovirus,isfahan virus,FALSE,isfahan,
isla vista hantavirus,isla vista virus (ilv); isla vista virus,FALSE,isla vista,
