name,exact,type,order,class,family,genus,species,checked_prev,rg_updated,species_updated,class_updated,order_updated,family_updated,genus_updated,unresolved_notes
cercopithecine herpesvirus 14,FALSE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Simplexvirus,Macacine alphaherpesvirus 1,TRUE,TRUE,Cercopithecine herpesvirus 14,Herviviricetes,Herpesvirales,Herpesviridae,,unresolved; no clear match in NCBITaxonomy
chagres,FALSE,viruses,Bunyavirales,Ellioviricetes,Phenuiviridae,Phlebovirus,Chagres phlebovirus,TRUE,,,,,,,
chandipura,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Vesiculovirus,Chandipura vesiculovirus,TRUE,,,,,,,
changuinola,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Changuinola virus,TRUE,,,,,,,
chapare,FALSE,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Chapare mammarenavirus,TRUE,,,,,,,
chenuda,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Chenuda virus,TRUE,,,,,,,
chikungunya,FALSE,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Chikungunya virus,TRUE,,,,,,,
chobar gorge,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Chobar Gorge virus,TRUE,,,,,,,
classical swine fever,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Pestivirus,Pestivirus C,TRUE,,,,,,,
coastal plains,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Tibrovirus,Coastal Plains tibrovirus,TRUE,,,,,,,
cocal,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Vesiculovirus,Cocal vesiculovirus,TRUE,,,,,,,
colorado tick fever,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Coltivirus,Colorado tick fever coltivirus,TRUE,,,,,,,
corriparta,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Corriparta virus,TRUE,,,,,,,
cosavirus a,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Cosavirus,Cosavirus F,TRUE,TRUE,Cosavirus A,Pisoniviricetes,Picornavirales,Picornaviridae,Cosavirus,
cowbone ridge,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Cowbone Ridge virus,TRUE,,,,,,,
cowpox,FALSE,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Orthopoxvirus,Ectromelia virus,TRUE,TRUE,Cowpox virus,Pokkesviricetes,Chitovirales,Poxviridae,Orthopoxvirus,
cricetid herpesvirus,FALSE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Rhadinovirus,Cricetid gammaherpesvirus 2,TRUE,,,,,,,
crimean-congo hemorrhagic fever,FALSE,viruses,Bunyavirales,Ellioviricetes,Nairoviridae,Orthonairovirus,Crimean-Congo hemorrhagic fever orthonairovirus,TRUE,,,,,,,
cupixi,FALSE,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Cupixi mammarenavirus,TRUE,,,,,,,
dakar bat,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Dakar bat virus,TRUE,,,,,,,
deer adenovirus,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,,Lemur adenovirus,TRUE,TRUE,Deer atadenovirus A,Tectiliviricetes,Rowavirales,Adenoviridae,Atadenovirus,
deerpox virus w-848-83,FALSE,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Cervidpoxvirus,Mule deerpox virus,TRUE,,,,,,,
dengue,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Dengue virus,TRUE,,,,,,,
dera ghazi khan,FALSE,viruses,Bunyavirales,Ellioviricetes,Nairoviridae,Orthonairovirus,Dera Ghazi Khan orthonairovirus,TRUE,,,,,,,
dhori,FALSE,viruses,Articulavirales,Insthoviricetes,Orthomyxoviridae,Thogotovirus,Dhori thogotovirus,TRUE,,,,,,,
dobrava-belgrade,FALSE,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,Dobrava-Belgrade orthohantavirus,TRUE,,,,,,,
dugbe,FALSE,viruses,Bunyavirales,Ellioviricetes,Nairoviridae,Orthonairovirus,Dugbe orthonairovirus,TRUE,,,,,,,
duvenhage,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Lyssavirus,Duvenhage lyssavirus,TRUE,,,,,,,
eastern equine encephalitis,FALSE,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Eastern equine encephalitis virus,TRUE,,,,,,,
ectromelia,FALSE,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Orthopoxvirus,Ectromelia virus,TRUE,,,,,,,
edge hill,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Edge Hill virus,TRUE,,,,,,,
egla,FALSE,viruses,Mononegavirales,Monjiviricetes,Filoviridae,Ebolavirus,Zaire ebolavirus,TRUE,TRUE,Zegla orthobunyavirus,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,
el moro canyon,FALSE,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,El Moro Canyon orthohantavirus,TRUE,,,,,,,
encephalomyocarditis,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Cardiovirus,Cardiovirus A,TRUE,,,,,,,
entebbe bat,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Entebbe bat virus,TRUE,,,,,,,
enterovirus a,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Enterovirus,Enterovirus E,TRUE,TRUE,Enterovirus A,Pisoniviricetes,Picornavirales,Picornaviridae,Enterovirus,
enterovirus b,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Enterovirus,Enterovirus E,TRUE,TRUE,Enterovirus B,Pisoniviricetes,Picornavirales,Picornaviridae,Enterovirus,
enterovirus c,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Enterovirus,Enterovirus E,TRUE,TRUE,Enterovirus C,Pisoniviricetes,Picornavirales,Picornaviridae,Enterovirus,
enterovirus d,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Enterovirus,Enterovirus E,TRUE,TRUE,Enterovirus D,Pisoniviricetes,Picornavirales,Picornaviridae,Enterovirus,
enterovirus f,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Enterovirus,Enterovirus E,TRUE,TRUE,Enterovirus F,Pisoniviricetes,Picornavirales,Picornaviridae,Enterovirus,
enterovirus j,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Enterovirus,Enterovirus E,TRUE,TRUE,Enterovirus J,Pisoniviricetes,Picornavirales,Picornaviridae,Enterovirus,
epizootic hemorrhagic disease,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Epizootic hemorrhagic disease virus,TRUE,,,,,,,
equine adenovirus a,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Equine mastadenovirus A,TRUE,,,,,,,
equine adenovirus b,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Equine mastadenovirus A,TRUE,TRUE,Equine mastadenovirus B,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
equine arteritis,FALSE,viruses,Nidovirales,Pisoniviricetes,Arteriviridae,Alphaarterivirus,Alphaarterivirus equid,TRUE,,,,,,,
equine encephalosis,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Equine encephalosis virus,TRUE,,,,,,,
equine foamy,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Equispumavirus,Equine foamy virus,TRUE,,,,,,,
equine infectious anemia,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Lentivirus,Equine infectious anemia virus,TRUE,,,,,,,
equine rhinitis a,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Erbovirus,Erbovirus A,TRUE,TRUE,Equine rhinitis A virus,Pisoniviricetes,Picornavirales,Picornaviridae,Aphthovirus,
equine rhinitis b,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Erbovirus,Erbovirus A,TRUE,,,,,,,
equus zebra gammaherpesvirus 2,FALSE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,,Equus zebra gammaherpesvirus 1,TRUE,,,,,,,
eubenangee,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Eubenangee virus,TRUE,,,,,,,
european brown hare syndrome,FALSE,viruses,Picornavirales,Pisoniviricetes,Caliciviridae,Lagovirus,European brown hare syndrome virus,TRUE,,,,,,,
everglades,FALSE,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Everglades virus,TRUE,,,,,,,
eyach,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Coltivirus,Eyach coltivirus,TRUE,,,,,,,
