HostOriginal,HostTaxID,HostNCBIResolved,Host,HostGenus,HostFamily,HostOrder,HostClass,ManualResolved_Note
macropus parma,413582,TRUE,Notamacropus parma,Notamacropus,Macropodidae,Diprotodontia,Mammalia,
macropus parryi,9318,TRUE,Notamacropus parryi,Notamacropus,Macropodidae,Diprotodontia,Mammalia,
macropus robustus,9319,TRUE,Osphranter robustus,Osphranter,Macropodidae,Diprotodontia,Mammalia,
macropus rufogriseus,1960652,TRUE,Notamacropus rufogriseus,Notamacropus,Macropodidae,Diprotodontia,Mammalia,
macropus rufus,9321,TRUE,Osphranter rufus,Osphranter,Macropodidae,Diprotodontia,Mammalia,
macrotis lagotis,92651,TRUE,Macrotis lagotis,Macrotis,Peramelidae,Peramelemorphia,Mammalia,
macrotus californicus,9419,TRUE,Macrotus californicus,Macrotus,Phyllostomidae,Chiroptera,Mammalia,
macrourus berglax,473319,TRUE,Macrourus berglax,Macrourus,Macrouridae,Gadiformes,Actinopteri,
madoqua kirkii,66434,TRUE,Madoqua kirkii,Madoqua,Bovidae,Artiodactyla,Mammalia,
madoqua saltiana,1027994,TRUE,Madoqua saltiana,Madoqua,Bovidae,Artiodactyla,Mammalia,
malapterurus electricus,337630,TRUE,Malapterurus electricus,Malapterurus,Malapteruridae,Siluriformes,Actinopteri,
malurus cyaneus,55807,TRUE,Malurus cyaneus,Malurus,Maluridae,Passeriformes,Aves,
mandrillus leucophaeus,9568,TRUE,Mandrillus leucophaeus,Mandrillus,Cercopithecidae,Primates,Mammalia,
mandrillus sphinx,9561,TRUE,Mandrillus sphinx,Mandrillus,Cercopithecidae,Primates,Mammalia,
manorina melanophrys,61467,TRUE,Manorina melanophrys,Manorina,Meliphagidae,Passeriformes,Aves,
mareca americana,75832,TRUE,Mareca americana,Mareca,Anatidae,Anseriformes,Aves,
mareca penelope,8838,TRUE,Mareca penelope,Mareca,Anatidae,Anseriformes,Aves,
mareca strepera,75861,TRUE,Mareca strepera,Mareca,Anatidae,Anseriformes,Aves,
marmaronetta angustirostris,75875,TRUE,Marmaronetta angustirostris,Marmaronetta,Anatidae,Anseriformes,Aves,
marmosa murina,126295,TRUE,Marmosa murina,Marmosa,Didelphidae,Didelphimorphia,Mammalia,
marmosa robinsoni,91496,TRUE,Marmosa robinsoni,Marmosa,Didelphidae,Didelphimorphia,Mammalia,
marmosops parvidens,126298,TRUE,Marmosops parvidens,Marmosops,Didelphidae,Didelphimorphia,Mammalia,
marmota baibacina,93157,TRUE,Marmota baibacina,Marmota,Sciuridae,Rodentia,Mammalia,
marmota caudata,71802,TRUE,Marmota caudata,Marmota,Sciuridae,Rodentia,Mammalia,
marmota flaviventris,93162,TRUE,Marmota flaviventris,Marmota,Sciuridae,Rodentia,Mammalia,
marmota himalayana,93163,TRUE,Marmota himalayana,Marmota,Sciuridae,Rodentia,Mammalia,
