Pathogen_Original,Type,Synonym,InAssoc,Pathogen_Harmonised,Pathogen_Harm2
actinomyces johnsonii,Bacteria,actinomyces naeslundii genospecies wva 963,FALSE,actinomyces johnsonii,actinomyces johnsonii
actinomyces marimammalium,Bacteria,,FALSE,actinomyces marimammalium,actinomyces marimammalium
actinomyces massiliensis,Bacteria,,TRUE,actinomyces massiliensis,actinomyces massiliensis
actinomyces meyeri,Bacteria,actinobacterium meyer,TRUE,actinomyces meyeri,actinomyces meyeri
actinomyces naeslundii,Bacteria,,TRUE,actinomyces naeslundii,actinomyces naeslundii
actinomyces nasicola,Bacteria,,FALSE,actinomyces nasicola,actinomyces nasicola
actinomyces neuii,Bacteria,,TRUE,actinomyces neuii,actinomyces neuii
actinomyces odontolyticus,Bacteria,,TRUE,actinomyces odontolyticus,actinomyces odontolyticus
actinomyces oricola,Bacteria,,TRUE,actinomyces oricola,actinomyces oricola
actinomyces oris,Bacteria,actinomyces naeslundii genospecies 2,TRUE,actinomyces oris,actinomyces oris
actinomyces radicidentis,Bacteria,,FALSE,actinomyces radicidentis,actinomyces radicidentis
actinomyces radingae,Bacteria,,TRUE,actinomyces radingae,actinomyces radingae
actinomyces slackii,Bacteria,,FALSE,actinomyces slackii,actinomyces slackii
actinomyces suimastitidis,Bacteria,,FALSE,actinomyces suimastitidis,actinomyces suimastitidis
actinomyces timonensis,Bacteria,,FALSE,actinomyces timonensis,actinomyces timonensis
actinomyces turicensis,Bacteria,,TRUE,actinomyces turicensis,actinomyces turicensis
actinomyces urogenitalis,Bacteria,,TRUE,actinomyces urogenitalis,actinomyces urogenitalis
actinomyces vaccimaxillae,Bacteria,,FALSE,actinomyces vaccimaxillae,actinomyces vaccimaxillae
actinomyces viscosus,Bacteria,odontomyces viscosus,TRUE,actinomyces viscosus,actinomyces viscosus
actinotignum sanguinis,Bacteria,,FALSE,actinotignum sanguinis,actinotignum sanguinis
actinotignum schaalii,Bacteria,actinobaculum schaalii,FALSE,actinotignum schaalii,actinotignum schaalii
actinotignum urinale,Bacteria,actinobaculum urinale,FALSE,actinotignum urinale,actinotignum urinale
adlercreutzia equolifaciens,Bacteria,,TRUE,adlercreutzia equolifaciens,adlercreutzia equolifaciens
aerococcus christensenii,Bacteria,,TRUE,aerococcus christensenii,aerococcus christensenii
aerococcus sanguinicola,Bacteria,aerococcus sanguicola,TRUE,aerococcus sanguinicola,aerococcus sanguinicola
aerococcus suis,Bacteria,,FALSE,aerococcus suis,aerococcus suis
aerococcus urinae,Bacteria,,FALSE,aerococcus urinae,aerococcus urinae
aerococcus urinaeequi,Bacteria,pediococcus urinaeequi,FALSE,aerococcus urinaeequi,aerococcus urinaeequi
aerococcus urinaehominis,Bacteria,,FALSE,aerococcus urinaehominis,aerococcus urinaehominis
aerococcus vaginalis,Bacteria,,FALSE,aerococcus vaginalis,aerococcus vaginalis
aerococcus viridans,Bacteria,pediococcus homari; gaffkya homari,TRUE,aerococcus viridans,aerococcus viridans
aeromonas allosaccharophila,Bacteria,,TRUE,aeromonas allosaccharophila,aeromonas allosaccharophila
aeromonas bestiarum,Bacteria,aeromonas hydrophila genomospecies 2; aeromonas dna hybridization group 2,TRUE,aeromonas bestiarum,aeromonas bestiarum
