Pathogen_Original,PathogenName_Harmonised,PathogenType,HumanInfective_Olival,Zoonotic_Olival_Strict,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,VectorBorne,Vector_GIDEON,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor
severe acute respiratory syndrome-related coronavirus,severe acute respiratory syndrome coronavirus,virus,1,0,1,1,1,1,sars,"airborne, direct, fecal-oral",1,0,NA,1,severe acute respiratory syndrome,0
shamonda,shamonda,virus,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0
shuni,shuni,virus,1,1,0,1,1,1,bunyaviridae infections misc.,vector,1,1,mosquito,0,NA,0
simian foamy,simian foamy,virus,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0
simian parvovirus,simian parvovirus,virus,1,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
simian virus 10,simian virus 10,virus,1,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
simian virus 40,simian virus 40,virus,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0
sin nombre,sin nombre,virus,1,1,1,1,1,1,hantavirus pulmonary syndrome,"direct, environmental, respiratory",1,0,NA,1,hantavirus pulmonary syndrome,1
sindbis,sindbis,virus,1,0,1,1,1,1,"karelian fever, sindbis fever",vector,1,1,mosquito (culex univittatus and cx. tritaeniorhyncus),1,sindbis fever,1
st. louis encephalitis,st. louis encephalitis,virus,1,1,1,1,1,1,st. louis encephalitis,vector,1,1,"mosquito (culex pipiens, cx. tarsalis, cx. nigripalpus, cx. restuans, cx. salinarius, aedes, sabethes)",0,NA,1
suid herpesvirus 1,suid herpesvirus 1,virus,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1
tacaiuma,tacaiuma,virus,1,0,1,1,1,1,bunyaviridae infections misc.,vector,1,1,mosquito,0,NA,1
tacaribe,tacaribe,virus,1,0,0,1,1,1,new world arenaviral haemorrhagic fever,"direct, environment, respiratory",1,0,NA,1,arenaviral disease,0
tanapox,tanapox,virus,1,0,1,1,1,1,tanapox virus disease,direct,1,0,NA,0,NA,0
tembusu,tembusu,virus,1,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
thailand,thailand,virus,1,0,1,1,1,1,old world hantavirus,"respiratory, fluid, environment",1,0,NA,0,NA,0
thiafora,thiafora,virus,1,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
thogoto,thogoto,virus,1,1,1,1,1,1,thogoto encephalitis,vector,1,1,tick,0,NA,1
tick-borne encephalitis,tick-borne encephalitis,virus,1,0,1,1,1,1,tick-borne encephalitis,"vector, food",1,1,tick (ixodes ricinus),1,tick-borne encephalitis,1
tioman,tioman,virus,1,0,0,1,1,1,respiratory viruses (misc),"respiratory, fluid",1,0,NA,0,NA,0
torque teno,torque teno,virus,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0
trubanaman,trubanaman,virus,1,0,1,1,1,1,barmah forest-related,vector,1,1,"mosquito (Aedes vigilax, Ae. camptorhynchus, Culex spp., Ae. normanensis and Coquillettidia spp)",0,NA,1
tula,tula,virus,1,1,0,1,1,1,old world hantavirus,"respiratory, fluid, environment",1,0,NA,0,NA,0
una,una,virus,1,0,0,1,1,1,mayaro-related alphaviral infection,vector,1,1,mosquito (Haemagogus janthinomys),1,alphavirus infection,0
usutu,usutu,virus,1,0,1,1,1,1,west nile-related fever,vector,1,1,"mosquito (Culex univittatus. Cx. pipiens, Cx. vishnui, Cx. naevei, Coquillettidia, Aedes and Anopheles spp.)",1,usutu,1
uukuniemi,uukuniemi,virus,1,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
vaccinia,vaccinia,virus,1,0,1,1,1,1,pseudocowpox,direct,1,0,NA,0,NA,0
venezuelan equine encephalitis,venezuelan equine encephalitis,virus,1,1,1,1,1,1,venezuelan equine encephalitis,vector,1,1,"mosquito (culex_spp,_aedes taeniorhynchus,_psorophora confinnis,_anopheles spp)",1,venezuelan equine encephalitis,1
vesicular stomatitis alagoas,vesicular stomatitis alagoas,virus,1,0,1,1,1,1,vesicular stomatitis,"vector, contact",1,1,sandfly,0,NA,1
vesicular stomatitis indiana,vesicular stomatitis indiana,virus,1,0,1,1,1,1,vesicular stomatitis,"vector, contact",1,1,sandfly,0,NA,1
vesicular stomatitis new jersey,vesicular stomatitis new jersey,virus,1,0,1,1,1,1,vesicular stomatitis,"vector, contact",1,1,sandfly,0,NA,1
wesselsbron,wesselsbron,virus,1,1,1,1,1,1,wesselsbron,vector,1,1,"mosquito (aedes_sp.,_anopheles gambiae,_an. pharoensis,_culex telesilla,_cx. univittatus,_mansonia uniformis)",0,NA,1
west nile,west nile,virus,1,1,1,1,1,1,west nile fever,"vector, fluids",1,1,"mosquito (culex univittatus. cx. pipiens, cx. vishnui, cx. naevei, coquillettidia, aedes and anopheles spp.)",1,west nile fever,1
western equine encephalitis,western equine encephalitis,virus,1,1,1,1,1,1,western equine encephalitis,vector,1,1,mosquito (culex tarsalis),1,western equine encephalitis,1
whitewater arroyo,whitewater arroyo,virus,1,1,1,1,1,1,whitewater arroyo virus infection,"environment, respiratory",1,0,NA,1,Tacaribe Complex Virus Disease,0
woolly monkey sarcoma,woolly monkey sarcoma,virus,1,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
wyeomyia,wyeomyia,virus,1,1,1,1,1,1,bunyaviridae infections misc.,vector,1,0,"mosquito (23 spp, inc. aedes, anopheles, limatus, culex, haemogogus, coquillettidia, psopsophora)",0,NA,1
yaba monkey tumor,yaba monkey tumor,virus,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1
yellow fever,yellow fever,virus,1,1,1,1,1,1,yellow fever,"vector, fluids",1,1,"mosquito (aedes, haemoagogus, sabethes)",1,yellow fever,1
zaire ebolavirus,zaire ebolavirus,virus,1,1,1,1,1,1,ebola,"direct, food",1,0,NA,1,ebola,1
zika,zika,virus,1,0,1,1,1,1,zika fever,"vector, sexual",1,1,mosquito (Aedes spp.),1,zika fever,1
adelaide river,adelaide river,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
adeno-associated virus-5,adeno-associated virus-5,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
african green monkey simian foamy,african green monkey simian foamy,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
african horse sickness,african horse sickness,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
african swine fever,african swine fever,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
aichi,aichi,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
akabane,akabane,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
alcelaphine herpesvirus 1,alcelaphine herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
