name,exact,type,order,class,family,genus,species
torque teno virus 15,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 15
torque teno virus 16,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 16
torque teno virus 17,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 17
torque teno virus 18,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 18
torque teno virus 19,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 19
torque teno virus 2,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 2
torque teno virus 20,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 20
torque teno virus 21,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 21
torque teno virus 22,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 22
torque teno virus 23,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 23
torque teno virus 24,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 24
torque teno virus 25,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 25
torque teno virus 26,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 26
torque teno virus 27,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 27
torque teno virus 28,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 28
torque teno virus 29,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 29
torque teno virus 3,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 3
torque teno virus 4,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 4
torque teno virus 5,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 5
torque teno virus 6,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 6
torque teno virus 7,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 7
torque teno virus 8,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 8
torque teno virus 9,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 9
tree shrew adenovirus,true,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Tree shrew mastadenovirus A
tupaia herpesvirus,true,viruses,Herpesvirales,Herviviricetes,Herpesviridae,,Tupaiid betaherpesvirus 1
